"","Timestamp","MaxCurr","EffCurr","Screen1","Screen2","Device"
"112",1536129789.5554,451.66,319.4,"On","On","On"
"113",1536129790.62376,451.66,319.4,"On","On","On"
"114",1536129791.69229,476.07,336.7,"On","On","On"
"115",1536129792.76004,451.66,319.4,"On","On","On"
"116",1536129793.83001,439.45,310.8,"On","On","On"
"117",1536129794.89851,451.66,319.4,"On","On","On"
"118",1536129795.96706,439.45,310.8,"On","On","On"
"119",1536129797.03381,451.66,319.4,"On","On","On"
"120",1536129798.10473,463.87,328.1,"On","On","On"
"121",1536129799.17239,439.45,310.8,"On","On","On"
"122",1536129800.2401,451.66,319.4,"On","On","On"
"123",1536129801.31131,439.45,310.8,"On","On","On"
"124",1536129802.37872,451.66,319.4,"On","On","On"
"125",1536129803.44799,463.87,328.1,"On","On","On"
"126",1536129804.51553,451.66,319.4,"On","On","On"
"127",1536129805.58348,463.87,328.1,"On","On","On"
"128",1536129806.65166,451.66,319.4,"On","On","On"
"129",1536129807.72025,463.87,328.1,"On","On","On"
"130",1536129808.78867,439.45,310.8,"On","On","On"
"131",1536129809.85828,463.87,328.1,"On","On","On"
"132",1536129810.92696,463.87,328.1,"On","On","On"
"133",1536129811.99616,463.87,328.1,"On","On","On"
"134",1536129813.06452,451.66,319.4,"On","On","On"
"135",1536129814.13325,451.66,319.4,"On","On","On"
"136",1536129815.20266,451.66,319.4,"On","On","On"
"137",1536129816.26928,451.66,319.4,"On","On","On"
"138",1536129817.3382,451.66,319.4,"On","On","On"
"139",1536129818.40513,488.28,345.3,"On","On","On"
"140",1536129819.47379,439.45,310.8,"On","On","On"
"141",1536129820.54146,463.87,328.1,"On","On","On"
"142",1536129821.61013,476.07,336.7,"On","On","On"
"143",1536129822.67851,463.87,328.1,"On","On","On"
"144",1536129823.74762,451.66,319.4,"On","On","On"
"145",1536129824.81718,476.07,336.7,"On","On","On"
"146",1536129825.88619,451.66,319.4,"On","On","On"
"147",1536129826.95467,463.87,328.1,"On","On","On"
"148",1536129828.02357,463.87,328.1,"On","On","On"
"149",1536129829.09258,488.28,345.3,"On","On","On"
"150",1536129830.16226,463.87,328.1,"On","On","On"
"151",1536129831.22843,463.87,328.1,"On","On","On"
"152",1536129832.29662,488.28,345.3,"On","On","On"
"153",1536129833.36451,463.87,328.1,"On","On","On"
"154",1536129834.43311,463.87,328.1,"On","On","On"
"155",1536129835.50091,451.66,319.4,"On","On","On"
"156",1536129836.57012,463.87,328.1,"On","On","On"
"157",1536129837.63915,451.66,319.4,"On","On","On"
"158",1536129838.70823,451.66,319.4,"On","On","On"
"159",1536129839.77699,451.66,319.4,"On","On","On"
"160",1536129840.84267,451.66,319.4,"On","On","On"
"161",1536129841.9144,476.07,336.7,"On","On","On"
"162",1536129842.98216,463.87,328.1,"On","On","On"
"163",1536129844.05204,476.07,336.7,"On","On","On"
"164",1536129845.12104,463.87,328.1,"On","On","On"
"165",1536129846.18865,463.87,328.1,"On","On","On"
"166",1536129847.25697,463.87,328.1,"On","On","On"
"167",1536129848.32468,451.66,319.4,"On","On","On"
"168",1536129849.39164,451.66,319.4,"On","On","On"
"169",1536129850.45875,439.45,310.8,"On","On","On"
"170",1536129851.52901,463.87,328.1,"On","On","On"
"171",1536129852.59813,463.87,328.1,"On","On","On"
"172",1536129853.66712,439.45,310.8,"On","On","On"
"173",1536129854.73389,476.07,336.7,"On","On","On"
"174",1536129855.80543,488.28,345.3,"On","On","On"
"175",1536129856.87335,476.07,336.7,"On","On","On"
"176",1536129857.94042,451.66,319.4,"On","On","On"
"177",1536129859.0096,439.45,310.8,"On","On","On"
"178",1536129860.07586,451.66,319.4,"On","On","On"
"179",1536129861.14321,451.66,319.4,"On","On","On"
"180",1536129862.21402,451.66,319.4,"On","On","On"
"181",1536129863.28188,451.66,319.4,"On","On","On"
"182",1536129864.3505,451.66,319.4,"On","On","On"
"183",1536129865.41944,451.66,319.4,"On","On","On"
"184",1536129866.48812,451.66,319.4,"On","On","On"
"185",1536129867.55746,463.87,328.1,"On","On","On"
"186",1536129868.62538,451.66,319.4,"On","On","On"
"187",1536129869.69429,463.87,328.1,"On","On","On"
"188",1536129870.76152,463.87,328.1,"On","On","On"
"189",1536129871.83237,476.07,336.7,"On","On","On"
"190",1536129872.89903,463.87,328.1,"On","On","On"
"191",1536129873.96773,463.87,328.1,"On","On","On"
"192",1536129875.03486,476.07,336.7,"On","On","On"
"193",1536129876.10199,451.66,319.4,"On","On","On"
"194",1536129877.17069,451.66,319.4,"On","On","On"
"195",1536129878.24055,463.87,328.1,"On","On","On"
"196",1536129879.30782,451.66,319.4,"On","On","On"
"197",1536129880.37739,476.07,336.7,"On","On","On"
"198",1536129881.44484,488.28,345.3,"On","On","On"
"199",1536129882.51344,463.87,328.1,"On","On","On"
"200",1536129883.58339,500.49,354,"On","On","On"
"201",1536129884.65244,463.87,328.1,"On","On","On"
"202",1536129885.72149,463.87,328.1,"On","On","On"
"203",1536129886.78903,463.87,328.1,"On","On","On"
"204",1536129887.85853,476.07,336.7,"On","On","On"
"205",1536129888.92505,476.07,336.7,"On","On","On"
"206",1536129889.99298,451.66,319.4,"On","On","On"
"207",1536129891.06086,488.28,345.3,"On","On","On"
"208",1536129892.12848,476.07,336.7,"On","On","On"
"209",1536129893.19838,488.28,345.3,"On","On","On"
"210",1536129894.26661,463.87,328.1,"On","On","On"
"211",1536129895.33538,451.66,319.4,"On","On","On"
"212",1536129896.405,476.07,336.7,"On","On","On"
"213",1536129897.47453,463.87,328.1,"On","On","On"
"214",1536129898.54257,463.87,328.1,"On","On","On"
"215",1536129899.61196,476.07,336.7,"On","On","On"
"216",1536129900.68082,390.63,276.3,"On","On","Off"
"217",1536129901.74849,256.35,181.3,"On","Idle","Off"
"218",1536129902.81819,256.35,181.3,"On","Idle","Off"
"219",1536129903.88502,256.35,181.3,"On","Idle","Off"
"220",1536129904.9513,231.93,164,"Idle","On","Off"
"221",1536129906.0188,219.73,155.4,"On","Off","Off"
"222",1536129907.0886,244.14,172.7,"Idle","On","On"
"223",1536129908.15667,231.93,164,"Idle","On","Off"
"224",1536129909.22597,231.93,164,"Idle","On","Off"
"225",1536129910.29478,231.93,164,"Idle","On","Off"
"226",1536129911.3618,231.93,164,"Idle","On","Off"
"227",1536129912.43279,244.14,172.7,"Idle","On","On"
"228",1536129913.50246,231.93,164,"Idle","On","Off"
"229",1536129914.57158,231.93,164,"Idle","On","Off"
"230",1536129915.63913,231.93,164,"Idle","On","Off"
"231",1536129916.70617,231.93,164,"Idle","On","Off"
"232",1536129917.77363,244.14,172.7,"Idle","On","On"
"233",1536129918.84211,231.93,164,"Idle","On","Off"
"234",1536129919.90934,256.35,181.3,"On","Idle","Off"
"235",1536129920.97816,231.93,164,"Idle","On","Off"
"236",1536129922.0482,244.14,172.7,"Idle","On","On"
"237",1536129923.11744,256.35,181.3,"On","Idle","Off"
"238",1536129924.18635,231.93,164,"Idle","On","Off"
"239",1536129925.25602,244.14,172.7,"Idle","On","On"
"240",1536129926.32426,244.14,172.7,"Idle","On","On"
"241",1536129927.3923,244.14,172.7,"Idle","On","On"
"242",1536129928.4611,244.14,172.7,"Idle","On","On"
"243",1536129929.52981,244.14,172.7,"Idle","On","On"
"244",1536129930.59799,244.14,172.7,"Idle","On","On"
"245",1536129931.66639,244.14,172.7,"Idle","On","On"
"246",1536129932.73259,244.14,172.7,"Idle","On","On"
"247",1536129933.80058,231.93,164,"Idle","On","Off"
"248",1536129934.86987,244.14,172.7,"Idle","On","On"
"249",1536129935.93868,256.35,181.3,"On","Idle","Off"
"250",1536129937.00819,244.14,172.7,"Idle","On","On"
"251",1536129938.07642,244.14,172.7,"Idle","On","On"
"252",1536129939.14555,244.14,172.7,"Idle","On","On"
"253",1536129940.21509,244.14,172.7,"Idle","On","On"
"254",1536129941.28469,256.35,181.3,"On","Idle","Off"
"255",1536129942.35272,244.14,172.7,"Idle","On","On"
"256",1536129943.41951,244.14,172.7,"Idle","On","On"
"257",1536129944.48727,244.14,172.7,"Idle","On","On"
"258",1536129945.55522,244.14,172.7,"Idle","On","On"
"259",1536129946.62297,244.14,172.7,"Idle","On","On"
"260",1536129947.6905,231.93,164,"Idle","On","Off"
"261",1536129948.75957,231.93,164,"Idle","On","Off"
"262",1536129949.82876,231.93,164,"Idle","On","Off"
"263",1536129950.89854,231.93,164,"Idle","On","Off"
"264",1536129951.96796,244.14,172.7,"Idle","On","On"
"265",1536129953.03604,231.93,164,"Idle","On","Off"
"266",1536129954.10439,244.14,172.7,"Idle","On","On"
"267",1536129955.17404,256.35,181.3,"On","Idle","Off"
"268",1536129956.24219,256.35,181.3,"On","Idle","Off"
"269",1536129957.31134,244.14,172.7,"Idle","On","On"
"270",1536129958.37979,244.14,172.7,"Idle","On","On"
"271",1536129959.44771,244.14,172.7,"Idle","On","On"
"272",1536129960.51717,256.35,181.3,"On","Idle","Off"
"273",1536129961.58371,256.35,181.3,"On","Idle","Off"
"274",1536129962.6493,244.14,172.7,"Idle","On","On"
"275",1536129963.72123,244.14,172.7,"Idle","On","On"
"276",1536129964.78989,244.14,172.7,"Idle","On","On"
"277",1536129965.85843,244.14,172.7,"Idle","On","On"
"278",1536129966.92733,244.14,172.7,"Idle","On","On"
"279",1536129967.99597,244.14,172.7,"Idle","On","On"
"280",1536129969.06463,244.14,172.7,"Idle","On","On"
"281",1536129970.13324,244.14,172.7,"Idle","On","On"
"282",1536129971.2023,244.14,172.7,"Idle","On","On"
"283",1536129972.27023,256.35,181.3,"On","Idle","Off"
"284",1536129973.33863,244.14,172.7,"Idle","On","On"
"285",1536129974.40614,244.14,172.7,"Idle","On","On"
"286",1536129975.47387,256.35,181.3,"On","Idle","Off"
"287",1536129976.54163,244.14,172.7,"Idle","On","On"
"288",1536129977.6103,256.35,181.3,"On","Idle","Off"
"289",1536129978.68007,244.14,172.7,"Idle","On","On"
"290",1536129979.74887,244.14,172.7,"Idle","On","On"
"291",1536129980.81716,244.14,172.7,"Idle","On","On"
"292",1536129981.8869,256.35,181.3,"On","Idle","Off"
"293",1536129982.95569,244.14,172.7,"Idle","On","On"
"294",1536129984.02434,244.14,172.7,"Idle","On","On"
"295",1536129985.09351,244.14,172.7,"Idle","On","On"
"296",1536129986.16136,256.35,181.3,"On","Idle","Off"
"297",1536129987.22906,256.35,181.3,"On","Idle","Off"
"298",1536129988.29774,244.14,172.7,"Idle","On","On"
"299",1536129989.36567,256.35,181.3,"On","Idle","Off"
"300",1536129990.43282,268.55,189.9,"On","Idle","On"
"301",1536129991.50189,244.14,172.7,"Idle","On","On"
"302",1536129992.57049,268.55,189.9,"On","Idle","On"
"303",1536129993.64013,268.55,189.9,"On","Idle","On"
"304",1536129994.70874,244.14,172.7,"Idle","On","On"
"305",1536129995.77745,231.93,164,"Idle","On","Off"
"306",1536129996.84666,244.14,172.7,"Idle","On","On"
"307",1536129997.91571,268.55,189.9,"On","Idle","On"
"308",1536129998.98499,244.14,172.7,"Idle","On","On"
"309",1536130000.05182,256.35,181.3,"On","Idle","Off"
"310",1536130001.11957,231.93,164,"Idle","On","Off"
"311",1536130002.18787,256.35,181.3,"On","Idle","Off"
"312",1536130003.25658,244.14,172.7,"Idle","On","On"
